component,module,line,kind
CommandRequest,src.aura.agent.policy,466,class
RepositoryPolicy,src.aura.agent.policy,485,class
PolicyContext,src.aura.agent.policy,500,class
NetworkPolicy,src.aura.agent.policy,512,class
PolicyEngine,src.aura.agent.policy,534,class
InstructionTrustRecord,src.aura.agent.policy,750,class
PromptInjectionFinding,src.aura.agent.policy,759,class
InstructionTrustPolicy,src.aura.agent.policy,766,class
DataTransferGuard,src.aura.agent.policy,829,class
AgentProvider,src.aura.agent.providers.base,8,class
CodexAppServerProvider,src.aura.agent.providers.codex_app_server,135,class
CodexCompatibility,src.aura.agent.providers.codex_compat,15,class
_PendingRequest,src.aura.agent.providers.codex_rpc,20,class
JsonLineRpcClient,src.aura.agent.providers.codex_rpc,31,class
DemoAgentProvider,src.aura.agent.providers.demo,19,class
PublicationBlocked,src.aura.agent.publication,22,class
PublicationFailed,src.aura.agent.publication,26,class
PublicationEvidence,src.aura.agent.publication,33,class
PublicationManager,src.aura.agent.publication,73,class
ArchitecturePackageResult,src.aura.agent.reporting,507,class
ArchitecturePackageGenerator,src.aura.agent.reporting,598,class
RepositoryInspection,src.aura.agent.repository_registry,16,class
RepositoryRegistry,src.aura.agent.repository_registry,33,class
WorkloadClass,src.aura.agent.scheduler,10,class
ResourceLimits,src.aura.agent.scheduler,19,class
ResourceSnapshot,src.aura.agent.scheduler,32,class
ResourceRequest,src.aura.agent.scheduler,43,class
GovernorDecision,src.aura.agent.scheduler,50,class
ResourceGovernor,src.aura.agent.scheduler,56,class
SchedulerResult,src.aura.agent.scheduler,122,class
DurableRunScheduler,src.aura.agent.scheduler,128,class
AgentWorkspaceState,src.aura.agent.state,40,class
AgentEventReducer,src.aura.agent.state,178,class
SupportBundleExporter,src.aura.agent.support,17,class
WorkflowRegistry,src.aura.agent.workflows,167,class
WorktreeContext,src.aura.agent.worktree,19,class
WorktreeManager,src.aura.agent.worktree,31,class
FileTranscriptionCancelled,src.aura.asr.file_pipeline,40,class
CancellationToken,src.aura.asr.file_pipeline,45,class
FileTranscriptionSettings,src.aura.asr.file_pipeline,57,class
FileTranscriptionResult,src.aura.asr.file_pipeline,79,class
PunctuationResult,src.aura.asr.punctuation,52,class
TransformersChinesePunctuationRestorer,src.aura.asr.punctuation,178,class
FileTranscriberThread,src.aura.asr.threads,80,class
ModelLoaderThread,src.aura.asr.threads,181,class
TranscriberThread,src.aura.asr.threads,232,class
PulseSource,src.aura.audio.capture,44,class
PulseRawInput,src.aura.audio.capture,281,class
PulseCaptureReader,src.aura.audio.capture,325,class
PyAudioCaptureReader,src.aura.audio.capture,358,class
AudioRecorderThread,src.aura.audio.capture,388,class
DenoisePolicy,src.aura.audio.denoise,16,class
EnhancementResult,src.aura.audio.enhancement_backends,23,class
RecordingAudioFormat,src.aura.audio.export,20,class
MeetingDistancePolicy,src.aura.audio.meeting_distance,21,class
FfmpegUnavailable,src.aura.audio.normalization,17,class
CpuDetectionResult,src.aura.audio.normalization,22,class
RecordingSession,src.aura.audio.recording_session,172,class
SmartSplitterThread,src.aura.audio.splitter,6,class
SplitterSettings,src.aura.audio.splitter_pipeline,15,class
SplitDecision,src.aura.audio.splitter_pipeline,32,class
SplitResult,src.aura.audio.splitter_pipeline,40,class
AuditRecorder,src.aura.audit,158,class
DiarizationDependencyError,src.aura.diarization.pyannote_pipeline,18,class
DiarizationSettings,src.aura.diarization.pyannote_pipeline,23,class
TranscriptSegment,src.aura.diarization.speaker_assignment,8,class
SpeakerTurn,src.aura.diarization.speaker_assignment,16,class
SpeakerLabeledSegment,src.aura.diarization.speaker_assignment,23,class
IndexStats,src.aura.evidence_search,12,class
EvidenceSearch,src.aura.evidence_search,425,class
OllamaRuntimeError,src.aura.llm.ollama_runtime,21,class
OllamaRuntimeStatus,src.aura.llm.ollama_runtime,26,class
SummarySettings,src.aura.llm.summary,12,class
SummaryThread,src.aura.llm.threads,17,class
OllamaRuntimeThread,src.aura.llm.threads,45,class
OllamaPullThread,src.aura.llm.threads,94,class
ReviewSegment,src.aura.review,30,class
TranscriptReview,src.aura.review,156,class
AppSettings,src.aura.settings,17,class
AudioDiagnostics,src.aura.system.audio_diagnostics,8,class
CommandCheck,src.aura.system.gpu_diagnostics,23,class
GpuDiagnostics,src.aura.system.gpu_diagnostics,32,class
RuntimePlatform,src.aura.system.platform,15,class
DiarizationDiagnostics,src.aura.system.runtime_report,36,class
PunctuationDiagnostics,src.aura.system.runtime_report,64,class
OllamaDiagnostics,src.aura.system.runtime_report,85,class
RuntimeDiagnostics,src.aura.system.runtime_report,100,class
FirstLaunchCheck,src.aura.system.runtime_report,156,class
UpdateCheckerThread,src.aura.system.update_checker,23,class
WorkspaceActionGroup,src.aura.ui.agent_workspace.action_group,6,class
AgentWorkspaceActions,src.aura.ui.agent_workspace.actions,12,class
AgentComposer,src.aura.ui.agent_workspace.agent_composer,27,class
StartContext,src.aura.ui.agent_workspace.application,34,class
StartReadiness,src.aura.ui.agent_workspace.application,75,class
AgentWorkspaceApplicationService,src.aura.ui.agent_workspace.application,81,class
