component,module,line,kind
ModelLoaderThread,src.aura.asr.threads,181,class
TranscriberThread,src.aura.asr.threads,232,class
PulseSource,src.aura.audio.capture,44,class
PulseRawInput,src.aura.audio.capture,281,class
PulseCaptureReader,src.aura.audio.capture,325,class
PyAudioCaptureReader,src.aura.audio.capture,358,class
AudioRecorderThread,src.aura.audio.capture,388,class
DenoisePolicy,src.aura.audio.denoise,16,class
EnhancementResult,src.aura.audio.enhancement_backends,23,class
RecordingAudioFormat,src.aura.audio.export,20,class
MeetingDistancePolicy,src.aura.audio.meeting_distance,21,class
FfmpegUnavailable,src.aura.audio.normalization,17,class
CpuDetectionResult,src.aura.audio.normalization,22,class
RecordingSession,src.aura.audio.recording_session,172,class
SmartSplitterThread,src.aura.audio.splitter,6,class
SplitterSettings,src.aura.audio.splitter_pipeline,15,class
SplitDecision,src.aura.audio.splitter_pipeline,32,class
SplitResult,src.aura.audio.splitter_pipeline,40,class
AuditRecorder,src.aura.audit,158,class
DiarizationDependencyError,src.aura.diarization.pyannote_pipeline,18,class
DiarizationSettings,src.aura.diarization.pyannote_pipeline,23,class
TranscriptSegment,src.aura.diarization.speaker_assignment,8,class
SpeakerTurn,src.aura.diarization.speaker_assignment,16,class
SpeakerLabeledSegment,src.aura.diarization.speaker_assignment,23,class
IndexStats,src.aura.evidence_search,12,class
EvidenceSearch,src.aura.evidence_search,425,class
OllamaRuntimeError,src.aura.llm.ollama_runtime,21,class
OllamaRuntimeStatus,src.aura.llm.ollama_runtime,26,class
SummarySettings,src.aura.llm.summary,12,class
SummaryThread,src.aura.llm.threads,17,class
OllamaRuntimeThread,src.aura.llm.threads,45,class
OllamaPullThread,src.aura.llm.threads,94,class
ReviewSegment,src.aura.review,30,class
TranscriptReview,src.aura.review,156,class
AppSettings,src.aura.settings,17,class
AudioDiagnostics,src.aura.system.audio_diagnostics,8,class
CommandCheck,src.aura.system.gpu_diagnostics,23,class
GpuDiagnostics,src.aura.system.gpu_diagnostics,32,class
RuntimePlatform,src.aura.system.platform,15,class
DiarizationDiagnostics,src.aura.system.runtime_report,36,class
PunctuationDiagnostics,src.aura.system.runtime_report,64,class
OllamaDiagnostics,src.aura.system.runtime_report,85,class
RuntimeDiagnostics,src.aura.system.runtime_report,100,class
FirstLaunchCheck,src.aura.system.runtime_report,156,class
UpdateCheckerThread,src.aura.system.update_checker,23,class
TimelineCard,src.aura.ui.agent_workspace_tab,162,class
ApprovalCard,src.aura.ui.agent_workspace_tab,233,class
TrustedRendererRegistry,src.aura.ui.agent_workspace_tab,271,class
AgentWorkspaceTab,src.aura.ui.agent_workspace_tab,362,class
MainWindow,src.aura.ui.main_window,30,class
UIStrings,src.aura.ui.messages,13,class
SplitterTab,src.aura.ui.splitter_tab,25,class
SummaryClaimsTable,src.aura.ui.summary_claims_table,16,class
PreparedTranscript,src.aura.ui.transcript_io,19,class
TranscriptSession,src.aura.ui.transcript_io,29,class
TranscriptReviewTable,src.aura.ui.transcript_review_table,37,class
TranscriptionTab,src.aura.ui.transcription_tab,102,class
FieldValidationResult,src.summary.field_schemas,50,class
JsonGenerationClient,src.summary.layered_summary_pipeline,38,class
ExtractorLog,src.summary.layered_summary_pipeline,44,class
LayeredSummaryResult,src.summary.layered_summary_pipeline,55,class
OllamaGemmaError,src.summary.ollama_gemma4_client,19,class
OllamaGemmaConfig,src.summary.ollama_gemma4_client,24,class
OllamaGemma4Client,src.summary.ollama_gemma4_client,36,class
JsonLineRpcClientTests,tests.test_agent_codex_provider,33,class
CodexAppServerProviderTests,tests.test_agent_codex_provider,134,class
AgentRunControllerTests,tests.test_agent_controller,19,class
AgentEventTests,tests.test_agent_core,14,class
AgentStateTests,tests.test_agent_core,44,class
ModelProfileTests,tests.test_agent_core,167,class
ActionRegistryTests,tests.test_agent_core,192,class
DemoAgentProviderTests,tests.test_agent_demo,6,class
AuraEvidenceAdapterTests,tests.test_agent_integrations,17,class
WorktreeManagerTests,tests.test_agent_integrations,150,class
ArchitecturePackageGeneratorTests,tests.test_agent_integrations,202,class
DummyTranscriptionTab,tests.test_agent_main_window,14,class
DummySplitterTab,tests.test_agent_main_window,22,class
DummyAgentTab,tests.test_agent_main_window,27,class
AgentMainWindowIntegrationTests,tests.test_agent_main_window,33,class
AgentRunStoreTests,tests.test_agent_persistence,10,class
PathPolicyTests,tests.test_agent_policy,9,class
CommandPolicyTests,tests.test_agent_policy,36,class
TransferBoundaryTests,tests.test_agent_policy,63,class
AgentSecurityTests,tests.test_agent_security,17,class
AgentWorkspaceTabTests,tests.test_agent_ui,37,class
AudioCaptureTests,tests.test_audio_capture,39,class
Reader,tests.test_audio_capture,236,class
Reader,tests.test_audio_capture,279,class
AudioExportTests,tests.test_audio_export,19,class
AudioNormalizationTests,tests.test_audio_normalization,19,class
FakeStdout,tests.test_audio_normalization,78,class
FakeProcess,tests.test_audio_normalization,82,class
AuditTests,tests.test_audit,16,class
BumpVersionTests,tests.test_bump_version,15,class
