dependency,detected,version_evidence,confidence
python,True,Python 3.12.3,Confirmed
git,True,git version 2.43.0,Confirmed
codex,True,codex-cli 0.145.0,Confirmed
ffmpeg,True,ffmpeg version 6.1.1-3ubuntu5 Copyright (c) 2000-2023 the FFmpeg developers,Confirmed
ollama,True,Warning: could not connect to a running Ollama instance,Confirmed
nvidia_smi,True,"NVIDIA GeForce RTX 4090 Laptop GPU, 580.173.02",Confirmed
pulseaudio,True,Server String: /run/user/1000/pulse/native,Confirmed
pipewire,True,pipewire,Confirmed
