interface,module,line,kind
test_normalize_version_accepts_tag_form_without_storing_v_prefix,tests.test_bump_version,16,function
test_normalize_release_date_requires_iso_date,tests.test_bump_version,19,function
test_increment_version_calculates_each_semver_step,tests.test_bump_version,24,function
test_update_files_synchronizes_release_surfaces,tests.test_bump_version,29,function
test_claim_review_is_append_only_and_does_not_rewrite_model_summary,tests.test_claim_review,10,function
test_claim_review_rejects_unknown_claim_or_status,tests.test_claim_review,45,function
test_unsupported_claim_cannot_be_confirmed,tests.test_claim_review,58,function
test_claim_edit_is_an_append_only_human_override,tests.test_claim_review,86,function
snr_db,tests.test_denoise,16,function
test_normalize_denoise_preset_maps_legacy_checkbox_to_light,tests.test_denoise,21,function
test_unknown_denoise_preset_is_rejected,tests.test_denoise,26,function
test_off_preset_returns_original_live_buffer,tests.test_denoise,30,function
test_reduce_noise_safely_accepts_short_live_frame,tests.test_denoise,37,function
test_reduce_noise_safely_skips_tiny_frame,tests.test_denoise,46,function
test_reduce_noise_safely_preserves_synthetic_tone,tests.test_denoise,53,function
test_reduce_audio_segment_noise_preserves_layout,tests.test_denoise,70,function
test_reduce_audio_segment_noise_off_preset_returns_original_segment,tests.test_denoise,89,function
test_default_workspace_categories_cover_minimum_gate_cases,tests.test_denoise_eval_workspace,11,function
test_init_workspace_creates_case_templates,tests.test_denoise_eval_workspace,16,function
test_check_workspace_requires_ready_case_count_and_reference,tests.test_denoise_eval_workspace,28,function
test_check_workspace_ready_when_input_and_reference_exist,tests.test_denoise_eval_workspace,41,function
test_check_workspace_rejects_full_recording_reference_for_short_clip,tests.test_denoise_eval_workspace,58,function
test_shell_quote_handles_spaces_and_quotes,tests.test_discover_denoise_eval_candidates,16,function
test_best_transcript_prefers_same_stem_txt_over_longer_markdown,tests.test_discover_denoise_eval_candidates,19,function
test_suggest_category_uses_path_hints,tests.test_discover_denoise_eval_candidates,32,function
test_discover_candidates_builds_private_manifest_data_without_content,tests.test_discover_denoise_eval_candidates,37,function
test_discover_candidates_can_opt_into_reference_file_for_clip_level_references,tests.test_discover_denoise_eval_candidates,67,function
export_silence,tests.test_enhancement_backends,23,function
test_import_backend_selection_follows_meeting_distance_policy,tests.test_enhancement_backends,29,function
test_normal_mode_does_not_request_model_backend,tests.test_enhancement_backends,40,function
test_far_speaker_backend_skips_when_deep_filter_cli_missing,tests.test_enhancement_backends,51,function
test_rescue_backend_skips_when_clearvoice_missing,tests.test_enhancement_backends,63,function
test_rescue_backend_can_use_external_clearvoice_python,tests.test_enhancement_backends,75,function
export_silence,tests.test_evaluate_denoise_backends,22,function
test_error_rate_helpers,tests.test_evaluate_denoise_backends,28,function
test_discover_eval_cases_reads_reference_and_rare_terms,tests.test_evaluate_denoise_backends,34,function
test_ensure_supported_backends_rejects_unknown_backend,tests.test_evaluate_denoise_backends,49,function
test_meeting_distance_mode_for_backend,tests.test_evaluate_denoise_backends,53,function
test_evaluate_off_backend_processes_without_transcription,tests.test_evaluate_denoise_backends,59,function
test_transcription_rejects_cpu_before_loading_model,tests.test_evaluate_denoise_backends,81,function
test_recommend_backends_by_category_prefers_transcript_quality,tests.test_evaluate_denoise_backends,91,function
test_recommend_backends_requires_reference_backed_metrics,tests.test_evaluate_denoise_backends,136,function
test_render_and_write_reports,tests.test_evaluate_denoise_backends,153,function
write_session,tests.test_evidence_search,11,function
test_rebuilt_index_finds_traditional_chinese_segment_with_source_coordinates,tests.test_evidence_search,119,function
test_search_meetings_finds_summary_content_and_returns_session_source,tests.test_evidence_search,147,function
test_open_audio_span_returns_read_only_track_metadata,tests.test_evidence_search,164,function
test_imported_source_audio_is_available_as_the_default_track,tests.test_evidence_search,192,function
test_get_confirmed_actions_excludes_unreviewed_or_unsupported_items,tests.test_evidence_search,239,function
test_summary_status_alone_cannot_create_a_confirmed_action,tests.test_evidence_search,267,function
test_confirmed_action_requires_a_canonical_source_segment,tests.test_evidence_search,286,function
test_edited_action_requires_human_reconfirmation,tests.test_evidence_search,306,function
test_invalidated_summary_cannot_publish_previously_confirmed_actions,tests.test_evidence_search,342,function
test_summary_hash_must_match_the_current_transcript_before_indexing,tests.test_evidence_search,376,function
test_duplicate_action_text_keeps_each_items_owner_and_deadline,tests.test_evidence_search,404,function
test_rebuild_refuses_to_overwrite_a_canonical_json_artifact,tests.test_evidence_search,479,function
test_cli_search_segments_prints_json_from_read_only_index,tests.test_evidence_search,491,function
test_search_segments_supports_short_chinese_queries,tests.test_evidence_search,506,function
test_short_meeting_search_returns_a_bounded_matching_excerpt,tests.test_evidence_search,518,function
test_claim_review_event_updates_confirmed_action_without_rewriting_summary,tests.test_evidence_search,531,function
test_rebuild_rejects_audio_track_paths_outside_the_session,tests.test_evidence_search,571,function
test_rebuild_rejects_invalid_segment_time_ranges,tests.test_evidence_search,583,function
export_silence,tests.test_file_pipeline,30,function
transcribe,tests.test_file_pipeline,39,function
transcribe,tests.test_file_pipeline,48,function
transcribe,tests.test_file_pipeline,54,function
test_format_segment_uses_hms_timestamp,tests.test_file_pipeline,66,function
test_build_transcribe_kwargs_omits_auto_language,tests.test_file_pipeline,71,function
test_file_transcription_settings_apply_meeting_distance_denoise_floor,tests.test_file_pipeline,83,function
test_normalize_file_transcription_error_adds_ffmpeg_guidance,tests.test_file_pipeline,90,function
test_normalize_file_transcription_error_keeps_gpu_only_policy,tests.test_file_pipeline,95,function
test_prepare_import_audio_writes_temp_file,tests.test_file_pipeline,101,function
test_prepare_import_audio_surfaces_ffmpeg_progress,tests.test_file_pipeline,116,function
test_prepare_import_audio_uses_successful_far_speaker_enhancement_before_normalization,tests.test_file_pipeline,146,function
test_prepare_import_audio_falls_back_to_denoise_when_far_speaker_enhancement_skips,tests.test_file_pipeline,191,function
test_prepare_import_audio_accepts_common_audio_video_containers,tests.test_file_pipeline,220,function
test_prepare_import_audio_honors_pre_cancelled_token,tests.test_file_pipeline,260,function
test_transcribe_file_cleans_temp_and_writes_backup,tests.test_file_pipeline,274,function
test_transcribe_file_restores_traditional_chinese_punctuation,tests.test_file_pipeline,304,function
test_transcribe_file_can_label_speakers_with_diarization_runner,tests.test_file_pipeline,326,function
test_transcribe_file_flags_low_confidence_and_speaker_overlap,tests.test_file_pipeline,365,function
test_transcribe_file_validates_diarization_runtime_before_preparing_audio,tests.test_file_pipeline,393,function
fake_normalize_media_to_wav,tests.test_file_pipeline,123,function
fake_enhance,tests.test_file_pipeline,153,function
fake_normalize_media_to_wav,tests.test_file_pipeline,165,function
fake_enhance,tests.test_file_pipeline,197,function
fake_diarization_runner,tests.test_file_pipeline,333,function
overlapping_turns,tests.test_file_pipeline,370,function
test_build_report_counts_categories_aliases_and_high_risk,tests.test_fuzzy_correction_audit,19,function
test_high_risk_reasons_detect_number_date_negation_and_categories,tests.test_fuzzy_correction_audit,88,function
test_discovery_excludes_non_transcript_runtime_files,tests.test_fuzzy_correction_audit,95,function
test_markdown_does_not_require_raw_transcript_text,tests.test_fuzzy_correction_audit,110,function
test_discover_correction_logs,tests.test_fuzzy_correction_audit,140,function
test_corrects_only_high_confidence_glossary_terms,tests.test_fuzzy_corrector,11,function
test_does_not_rewrite_natural_sentences_without_glossary_match,tests.test_fuzzy_corrector,32,function
test_protects_exact_glossary_terms_from_internal_alias_replacements,tests.test_fuzzy_corrector,40,function
test_respects_category_thresholds_for_uncertain_medical_terms,tests.test_fuzzy_corrector,51,function
test_denylisted_review_rejects_are_logged_without_correction,tests.test_fuzzy_corrector,82,function
test_unsure_review_cases_are_logged_as_manual_review_required_without_correction,tests.test_fuzzy_corrector,100,function
sample_report,tests.test_fuzzy_manual_review,16,function
test_manual_review_queue_contains_low_score_cases,tests.test_fuzzy_manual_review,84,function
test_manual_review_queue_contains_all_people_cases,tests.test_fuzzy_manual_review,91,function
test_manual_review_queue_contains_all_medical_cases,tests.test_fuzzy_manual_review,96,function
test_manual_review_queue_contains_watch_cases,tests.test_fuzzy_manual_review,101,function
test_manual_review_queue_has_no_raw_context,tests.test_fuzzy_manual_review,106,function
test_manual_review_labels_are_blank,tests.test_fuzzy_manual_review,126,function
test_file_signature_does_not_emit_content,tests.test_g4e4b_pipeline_validity,18,function
test_transcript_pair_status_detects_identical_pairs,tests.test_g4e4b_pipeline_validity,29,function
test_build_report_blocks_quality_claim_without_positive_rows,tests.test_g4e4b_pipeline_validity,52,function
test_context_rows_reads_completed_sheet,tests.test_g4e4b_pipeline_validity,89,function
result,tests.test_gate_denoise_default_promotion,12,function
test_gate_passes_when_candidate_improves_reference_backed_metrics,tests.test_gate_denoise_default_promotion,27,function
test_gate_blocks_when_reference_backed_metrics_are_missing,tests.test_gate_denoise_default_promotion,52,function
test_gate_blocks_rare_term_regression,tests.test_gate_denoise_default_promotion,74,function
test_load_results_and_render_markdown,tests.test_gate_denoise_default_promotion,94,function
test_gemma4_e4b_config_exists,tests.test_gemma4_e4b_summary_impact,34,function
test_no_fallback_model_allowed,tests.test_gemma4_e4b_summary_impact,40,function
test_ollama_runner_enables_and_checks_reasoning,tests.test_gemma4_e4b_summary_impact,53,function
test_external_calls_forbidden,tests.test_gemma4_e4b_summary_impact,69,function
test_ollama_runner_requires_localhost_gemma4_e4b,tests.test_gemma4_e4b_summary_impact,75,function
test_gate_rejects_runtime_or_reasoning_contract_drift,tests.test_gemma4_e4b_summary_impact,84,function
test_raw_transcript_context_not_emitted,tests.test_gemma4_e4b_summary_impact,97,function
test_model_missing_fails_gracefully,tests.test_gemma4_e4b_summary_impact,102,function
test_summary_prompt_does_not_include_correction_log,tests.test_gemma4_e4b_summary_impact,112,function
test_report_schema,tests.test_gemma4_e4b_summary_impact,117,function
test_empty_structured_summary_has_no_content,tests.test_gemma4_e4b_summary_impact,176,function
test_rejected_terms_do_not_count_as_improvements,tests.test_gemma4_e4b_summary_impact,184,function
test_manual_review_terms_are_flagged,tests.test_gemma4_e4b_summary_impact,197,function
test_decision_change_categories,tests.test_gemma4_e4b_summary_impact,206,function
test_hallucinated_entity_watch,tests.test_gemma4_e4b_summary_impact,217,function
test_discovers_real_transcript_pairs_with_separate_logs,tests.test_gemma4_e4b_summary_impact,221,function
make_log,tests.test_generate_paired_summary_artifacts,13,function
sample_entries,tests.test_generate_paired_summary_artifacts,27,function
test_selects_logs_with_accepted_corrections,tests.test_generate_paired_summary_artifacts,61,function
test_generates_discoverable_paired_artifacts,tests.test_generate_paired_summary_artifacts,79,function
test_manifest_and_reports_do_not_emit_raw_context,tests.test_generate_paired_summary_artifacts,102,function
test_rejected_and_manual_terms_are_excluded_from_corrected_summary,tests.test_generate_paired_summary_artifacts,121,function
test_generated_sample_allows_summary_impact_nonzero_evaluation,tests.test_generate_paired_summary_artifacts,137,function
test_model_loader_pins_asr_to_cuda_even_if_cpu_requested,tests.test_gpu_policy,8,function
test_model_loader_refuses_cpu_fallback_when_cuda_runtime_is_missing,tests.test_gpu_policy,15,function
test_model_loader_constructs_whisper_model_only_on_cuda,tests.test_gpu_policy,33,function
test_all_aura_modules_import,tests.test_imports,9,function
generate_json,tests.test_layered_summary_pipeline,61,function
test_all_nine_extractors_run_in_one_parallel_batch,tests.test_layered_summary_pipeline,79,function
test_uses_corrected_transcript_only,tests.test_layered_summary_pipeline,89,function
test_raw_transcript_not_sent_to_model,tests.test_layered_summary_pipeline,96,function
test_correction_log_not_sent_to_model,tests.test_layered_summary_pipeline,103,function
test_exact_ollama_model_tag_required,tests.test_layered_summary_pipeline,110,function
test_ollama_generation_options_are_fixed,tests.test_layered_summary_pipeline,121,function
test_ollama_generation_requires_completion_and_final_content,tests.test_layered_summary_pipeline,152,function
test_no_fallback_model_allowed,tests.test_layered_summary_pipeline,169,function
test_remote_host_disguised_as_localhost_is_rejected,tests.test_layered_summary_pipeline,175,function
test_each_field_prompt_exists,tests.test_layered_summary_pipeline,181,function
test_each_field_prompt_has_minimal_example,tests.test_layered_summary_pipeline,186,function
test_each_field_prompt_is_distinct,tests.test_layered_summary_pipeline,190,function
test_field_output_validation,tests.test_layered_summary_pipeline,199,function
test_decision_and_action_item_keep_source_and_review_evidence,tests.test_layered_summary_pipeline,208,function
test_model_output_cannot_self_confirm_a_claim,tests.test_layered_summary_pipeline,246,function
test_invalid_claim_support_status_is_rejected,tests.test_layered_summary_pipeline,265,function
test_claim_prompts_require_source_segment_ids,tests.test_layered_summary_pipeline,281,function
test_all_extractors_cover_final_fields_once,tests.test_layered_summary_pipeline,288,function
test_meeting_topic_must_be_string,tests.test_layered_summary_pipeline,293,function
test_participants_must_be_list,tests.test_layered_summary_pipeline,298,function
test_key_points_must_be_list,tests.test_layered_summary_pipeline,303,function
test_decisions_must_be_list_of_objects,tests.test_layered_summary_pipeline,308,function
test_action_items_must_be_list_of_objects,tests.test_layered_summary_pipeline,313,function
test_format_repair_runs_once,tests.test_layered_summary_pipeline,318,function
test_failed_repair_uses_default_values,tests.test_layered_summary_pipeline,326,function
test_final_json_schema_valid,tests.test_layered_summary_pipeline,334,function
test_markdown_rendered_from_json,tests.test_layered_summary_pipeline,344,function
test_ollama_unavailable_fails_gracefully,tests.test_layered_summary_pipeline,351,function
test_missing_model_tag_fails_gracefully,tests.test_layered_summary_pipeline,356,function
test_external_cloud_calls_forbidden,tests.test_layered_summary_pipeline,362,function
test_private_outputs_not_staged,tests.test_layered_summary_pipeline,369,function
test_each_meeting_gets_its_own_summary_evidence_directory,tests.test_layered_summary_pipeline,376,function
test_session_output_is_written_beside_the_session_manifest,tests.test_layered_summary_pipeline,388,function
test_failed_atomic_summary_replace_preserves_previous_canonical_summary,tests.test_layered_summary_pipeline,408,function
test_summary_evidence_links_claims_only_to_known_segments,tests.test_layered_summary_pipeline,441,function
test_claim_identity_changes_when_regenerated_content_changes,tests.test_layered_summary_pipeline,478,function
test_claim_identity_changes_after_source_transcript_revision,tests.test_layered_summary_pipeline,506,function
test_summary_evidence_exposes_action_items_as_reviewable_claims,tests.test_layered_summary_pipeline,534,function
fake_request,tests.test_layered_summary_pipeline,125,function
fail_summary_replace,tests.test_layered_summary_pipeline,423,function
test_selected_session_outside_cwd_uses_explicit_recovery_path,tests.test_main_window_recovery,15,function
test_markdown_rendered_from_json_not_llm,tests.test_markdown_renderer,10,function
test_empty_sections_render_stable_placeholders,tests.test_markdown_renderer,41,function
test_normalize_meeting_distance_mode_rejects_unknown_mode,tests.test_meeting_distance,19,function
test_off_mode_respects_selected_denoise_preset,tests.test_meeting_distance,23,function
test_normal_mode_requires_at_least_light_denoise,tests.test_meeting_distance,29,function
test_far_speaker_requires_medium_denoise,tests.test_meeting_distance,35,function
test_rescue_offline_is_import_supported_but_not_live_backend_supported,tests.test_meeting_distance,41,function
test_live_segment_agc_boosts_quiet_far_speaker_segment_with_limit,tests.test_meeting_distance,48,function
test_live_segment_agc_preserves_off_mode_audio_object,tests.test_meeting_distance,57,function
test_dry_run_uses_final_schema_with_metadata,tests.test_meeting_summary,20,function
test_dry_run_extracts_practical_notes_without_speculative_action_items,tests.test_meeting_summary,41,function
test_load_transcript_supports_json_fixture,tests.test_meeting_summary,53,function
test_write_outputs_writes_markdown_and_json,tests.test_meeting_summary,63,function
read,tests.test_ollama_runtime,29,function
test_server_already_running_and_model_exists_is_ready,tests.test_ollama_runtime,34,function
test_server_unavailable_and_ollama_command_missing_fails_clearly,tests.test_ollama_runtime,47,function
test_server_unavailable_command_exists_and_server_starts_is_ready,tests.test_ollama_runtime,57,function
test_server_starts_but_times_out_fails_clearly,tests.test_ollama_runtime,69,function
test_model_missing_returns_model_missing_status,tests.test_ollama_runtime,80,function
test_pull_model_success_streams_progress,tests.test_ollama_runtime,92,function
test_pull_model_failure_returns_false,tests.test_ollama_runtime,105,function
test_started_server_uses_local_single_user_gpu_defaults,tests.test_ollama_runtime,116,function
test_host_must_be_localhost,tests.test_ollama_runtime,142,function
test_check_model_tag_reads_local_tags,tests.test_ollama_runtime,155,function
test_check_ollama_command_uses_path,tests.test_ollama_runtime,162,function
test_check_ollama_server_returns_false_when_unavailable,tests.test_ollama_runtime,166,function
test_wheel_reads_prompts_and_default_glossary_outside_checkout,tests.test_packaged_resources,11,function
test_read_reference_text_rejects_ambiguous_sources,tests.test_prepare_denoise_eval_case,13,function
test_prepare_eval_case_runs_ffmpeg_and_fills_empty_templates,tests.test_prepare_denoise_eval_case,21,function
test_prepare_eval_case_protects_existing_reference,tests.test_prepare_denoise_eval_case,60,function
test_file_thread_uses_default_prompt_when_not_supplied,tests.test_prompt_defaults,18,function
test_file_thread_maps_legacy_denoise_flag_to_light_preset,tests.test_prompt_defaults,25,function
test_file_thread_captures_import_advanced_settings,tests.test_prompt_defaults,31,function
test_live_thread_starts_with_live_default_prompt,tests.test_prompt_defaults,56,function
test_live_update_without_prompt_keeps_live_default,tests.test_prompt_defaults,61,function
test_live_asr_telemetry_reports_duration_speed_and_backlog,tests.test_prompt_defaults,68,function
test_live_asr_telemetry_event_keeps_structured_fields,tests.test_prompt_defaults,81,function
test_live_transcript_timestamps_follow_stream_elapsed_time,tests.test_prompt_defaults,95,function
test_explicit_empty_prompt_remains_empty,tests.test_prompt_defaults,123,function
test_transcribe_kwargs_include_default_prompt,tests.test_prompt_defaults,126,function
test_transcribe_kwargs_omit_language_for_auto_detect,tests.test_prompt_defaults,139,function
transcribe,tests.test_prompt_defaults,104,function
restore,tests.test_punctuation,20,function
test_detects_traditional_chinese_target,tests.test_punctuation,26,function
test_normalizes_ascii_punctuation_near_chinese,tests.test_punctuation,32,function
test_rule_fallback_adds_terminal_punctuation,tests.test_punctuation,35,function
test_model_restorer_is_used_for_unpunctuated_chinese,tests.test_punctuation,41,function
test_formatted_line_preserves_timestamp_and_speaker_prefix,tests.test_punctuation,50,function
test_transcript_restoration_preserves_line_structure,tests.test_punctuation,59,function
test_insert_punctuation_by_offsets,tests.test_punctuation,68,function
test_punctuation_label_suffixes_are_supported,tests.test_punctuation,73,function
test_model_restorer_keeps_primary_and_fallback_model_ids,tests.test_punctuation,77,function
test_missing_model_dependency_is_actionable_and_cached,tests.test_punctuation,82,function
import_with_missing_transformers,tests.test_punctuation,87,function
test_system_and_microphone_recording_finalizes_three_durable_wavs,tests.test_recording_session,21,function
test_forced_interruption_is_discovered_read_only_and_explicitly_recovered,tests.test_recording_session,64,function
test_ready_audio_without_transcript_artifacts_remains_discoverable,tests.test_recording_session,123,function
test_failed_session_with_partial_wav_and_no_journal_is_discoverable,tests.test_recording_session,145,function
test_pcm_journal_flushes_each_second_and_fsyncs_each_five_seconds,tests.test_recording_session,171,function
test_pcm_storage_error_marks_session_failed_and_preserves_error,tests.test_recording_session,201,function
test_recovery_discovery_skips_unrelated_session_json,tests.test_recording_session,226,function
test_recovery_rejects_recording_name_that_escapes_session_directory,tests.test_recording_session,234,function
fail_pcm_open,tests.test_recording_session,212,function
test_app_shutdown_waits_for_recording_finalization_before_stopping_asr,tests.test_recording_shutdown,11,function
test_recording_artifacts_wait_for_durable_audio_finalization,tests.test_recording_shutdown,54,function
test_partial_capture_path_becomes_current_review_source_with_warning_provenance,tests.test_recording_shutdown,70,function
test_complete_recording_name_ending_in_partial_is_not_misclassified,tests.test_recording_shutdown,100,function
test_shutdown_copies_live_transcript_backup_into_recording_session,tests.test_recording_shutdown,127,function
test_unowned_runtime_backup_is_retained_for_manual_recovery,tests.test_recording_shutdown,154,function
stop,tests.test_recording_shutdown,15,function
wait,tests.test_recording_shutdown,21,function
stop,tests.test_recording_shutdown,26,function
test_cuda_required_error_uses_product_activation_language,tests.test_runtime_diagnostics,24,function
test_collect_gpu_diagnostics_respects_preloaded_runtime_status,tests.test_runtime_diagnostics,31,function
test_runtime_report_contains_developer_ready_sections,tests.test_runtime_diagnostics,50,function
test_runtime_report_surfaces_diarization_setup_status,tests.test_runtime_diagnostics,93,function
test_runtime_report_surfaces_punctuation_setup_status,tests.test_runtime_diagnostics,142,function
test_runtime_report_keeps_activation_guidance_when_cuda_incomplete,tests.test_runtime_diagnostics,181,function
test_first_launch_checks_cover_user_onboarding_gates,tests.test_runtime_diagnostics,216,function
test_collect_runtime_diagnostics_checks_selected_output_folder_and_free_space,tests.test_runtime_diagnostics,259,function
test_collect_runtime_diagnostics_checks_configured_ollama_endpoint_and_model_tag,tests.test_runtime_diagnostics,313,function
test_ollama_diagnostics_reject_remote_hosts_without_requesting_them,tests.test_runtime_diagnostics,369,function
test_ollama_diagnostics_keeps_invalid_local_response_as_not_ready,tests.test_runtime_diagnostics,384,function
test_runtime_paths_use_configured_directory,tests.test_runtime_paths,12,function
test_append_and_remove_transcript_backup,tests.test_runtime_paths,19,function
test_file_transcriber_cancellation_flag,tests.test_runtime_paths,30,function
test_next_wall_clock_datetime_uses_today_when_time_is_later,tests.test_scheduling,8,function
test_next_wall_clock_datetime_rolls_past_time_to_tomorrow,tests.test_scheduling,15,function
test_next_wall_clock_datetime_can_start_inside_current_minute,tests.test_scheduling,22,function
test_stop_datetime_after_start_stays_after_start,tests.test_scheduling,29,function
test_stop_datetime_after_start_rolls_equal_time_to_next_day,tests.test_scheduling,36,function
test_milliseconds_until_never_returns_negative_interval,tests.test_scheduling,43,function
test_default_settings_preserve_runtime_constants,tests.test_settings,18,function
test_custom_settings_can_override_runtime_defaults,tests.test_settings,40,function
test_custom_settings_reject_cpu_asr,tests.test_settings,55,function
test_ui_strings_format_dynamic_status_messages,tests.test_settings,59,function
test_import_media_filter_lists_common_audio_video_types_and_fallback,tests.test_settings,69,function
test_assigns_speaker_with_largest_overlap,tests.test_speaker_assignment,25,function
test_assigns_unknown_when_no_turn_matches,tests.test_speaker_assignment,34,function
test_assign_speakers_preserves_transcript_order,tests.test_speaker_assignment,40,function
test_pipeline_kwargs_uses_exact_count_when_min_equals_max,tests.test_speaker_assignment,55,function
test_pipeline_kwargs_uses_range_when_bounds_differ,tests.test_speaker_assignment,60,function
test_rejects_invalid_speaker_range,tests.test_speaker_assignment,65,function
test_validate_diarization_runtime_noops_when_disabled,tests.test_speaker_assignment,69,function
test_validate_diarization_runtime_reports_missing_pyannote_dependency,tests.test_speaker_assignment,72,function
test_validate_diarization_runtime_reports_missing_hugging_face_token,tests.test_speaker_assignment,79,function
test_huggingface_token_loads_local_secret_file,tests.test_speaker_assignment,88,function
test_huggingface_token_prefers_environment_over_local_secret_file,tests.test_speaker_assignment,104,function
test_diarize_audio_file_passes_preloaded_waveform_to_pipeline,tests.test_speaker_assignment,119,function
export_silence,tests.test_splitter_pipeline,16,function
test_output_extension_preserves_supported_extension,tests.test_splitter_pipeline,22,function
test_output_extension_falls_back_to_mp3_for_unsupported_extension,tests.test_splitter_pipeline,25,function
test_export_format_maps_container_specific_formats,tests.test_splitter_pipeline,28,function
test_choose_cut_point_uses_silence_inside_search_window,tests.test_splitter_pipeline,33,function
test_split_audio_file_exports_final_short_segment_and_reports_progress,tests.test_splitter_pipeline,43,function
test_split_audio_file_exports_multiple_chunks_for_longer_input,tests.test_splitter_pipeline,66,function
test_split_audio_file_rejects_zero_target_length,tests.test_splitter_pipeline,89,function
test_summary_settings_default_to_local_gemma4_ollama,tests.test_summary,18,function
test_transcript_content_detection,tests.test_summary,27,function
test_summarize_transcript_uses_layered_pipeline,tests.test_summary,32,function
test_summarize_transcript_writes_evidence_into_the_selected_session,tests.test_summary,44,function
test_format_summary_block,tests.test_summary,73,function
setUpClass,tests.test_summary_claims_table,21,function
test_table_loads_sources_and_records_human_review,tests.test_summary_claims_table,24,function
test_claim_source_selects_and_plays_the_matching_segment,tests.test_summary_claims_table,65,function
test_claim_review_disk_failure_keeps_table_state_and_reports_retry,tests.test_summary_claims_table,80,function
test_claim_edit_disk_failure_keeps_original_claim,tests.test_summary_claims_table,130,function
make_artifacts,tests.test_summary_impact_eval,18,function
test_summary_impact_report_schema,tests.test_summary_impact_eval,72,function
test_detects_corrected_domain_terms,tests.test_summary_impact_eval,86,function
test_detects_raw_asr_error_spans,tests.test_summary_impact_eval,95,function
test_rejected_terms_do_not_count_as_improvements,tests.test_summary_impact_eval,104,function
test_manual_review_terms_are_flagged,tests.test_summary_impact_eval,113,function
test_no_raw_transcript_context_in_report,tests.test_summary_impact_eval,121,function
setEnabled,tests.test_summary_ui_runtime,13,function
setReadOnly,tests.test_summary_ui_runtime,22,function
setEnabled,tests.test_summary_ui_runtime,25,function
connect,tests.test_summary_ui_runtime,33,function
emit,tests.test_summary_ui_runtime,36,function
isRunning,tests.test_summary_ui_runtime,56,function
start,tests.test_summary_ui_runtime,59,function
setUp,tests.test_summary_ui_runtime,69,function
make_tab,tests.test_summary_ui_runtime,74,function
test_runtime_ready_calls_start_summary,tests.test_summary_ui_runtime,104,function
test_model_missing_does_not_call_start_summary,tests.test_summary_ui_runtime,120,function
test_runtime_receives_only_the_corrected_prepared_transcript,tests.test_summary_ui_runtime,135,function
test_preflight_freezes_workflow_controls_and_transcript_editing,tests.test_summary_ui_runtime,145,function
test_empty_transcript_does_not_start_runtime,tests.test_summary_ui_runtime,158,function
test_transcript_session_reuses_recording_manifest_identity,tests.test_transcript_io,24,function
test_transcript_session_creates_and_reuses_import_identity,tests.test_transcript_io,40,function
test_transcript_session_rejects_a_different_import_source,tests.test_transcript_io,55,function
test_collision_safe_base_adds_stable_source_hash,tests.test_transcript_io,63,function
test_dotted_base_name_keeps_one_session_identity,tests.test_transcript_io,77,function
test_prepare_transcript_applies_punctuation_then_glossary_and_hashes_corrected_text,tests.test_transcript_io,91,function
test_transcript_text_for_save_strips_and_adds_newline,tests.test_transcript_io,108,function
test_transcript_text_for_save_keeps_empty_content_empty,tests.test_transcript_io,111,function
test_write_transcript_file_creates_parent_and_writes_clean_text,tests.test_transcript_io,114,function
test_write_transcript_file_skips_empty_content,tests.test_transcript_io,123,function
test_split_transcript_sections_extracts_raw_and_summary,tests.test_transcript_io,132,function
test_final_transcript_text_combines_raw_and_summary,tests.test_transcript_io,138,function
test_transcript_artifact_paths_use_base_path,tests.test_transcript_io,143,function
test_write_transcript_artifacts_writes_raw_corrected_final_summary_log_and_metrics,tests.test_transcript_io,155,function
test_write_event_log_file_writes_recording_events_and_runtime_config,tests.test_transcript_io,193,function
test_write_transcript_artifacts_persists_the_exact_prepared_transcript,tests.test_transcript_io,220,function
test_prepared_transcript_is_bound_to_the_session_manifest,tests.test_transcript_io,243,function
test_parse_transcript_lines_creates_stable_timed_segments,tests.test_transcript_review,21,function
test_parse_transcript_lines_preserves_explicit_segment_id,tests.test_transcript_review,40,function
test_review_edit_preserves_segment_id_and_records_revision,tests.test_transcript_review,49,function
test_speaker_rename_updates_every_matching_segment_in_session,tests.test_transcript_review,72,function
test_save_and_load_keeps_segments_and_append_only_review_events,tests.test_transcript_review,90,function
test_existing_session_directory_uses_canonical_artifact_names,tests.test_transcript_review,117,function
test_editing_saved_transcript_invalidates_existing_summary,tests.test_transcript_review,131,function
test_event_write_failure_leaves_edited_segments_with_invalidated_summary,tests.test_transcript_review,160,function
test_invalidation_write_failure_preserves_old_segments_and_valid_summary,tests.test_transcript_review,202,function
test_exports_json_markdown_srt_and_vtt_from_same_segments,tests.test_transcript_review,238,function
test_dotted_export_base_keeps_full_name,tests.test_transcript_review,256,function
test_file_transcriber_thread_exposes_structured_segments,tests.test_transcript_review,268,function
fail_review_event,tests.test_transcript_review,183,function
setUpClass,tests.test_transcript_review_table,23,function
test_table_edits_and_confirms_structured_segment,tests.test_transcript_review_table,26,function
test_summary_text_stays_separate_from_editable_transcript_rows,tests.test_transcript_review_table,52,function
test_new_segments_clear_summary_from_the_previous_document,tests.test_transcript_review_table,65,function
test_unchecking_confirmed_row_does_not_desynchronize_saved_state,tests.test_transcript_review_table,73,function
test_next_pending_review_skips_confirmed_segments,tests.test_transcript_review_table,89,function
test_transcription_tab_saves_review_into_canonical_import_session,tests.test_transcript_review_table,106,function
